Emp,Name,First,Middle,Last,Gender,E Mail,Father Name,Mother Name,Mother Maiden Name,Date of Birth,Time of Birth,Age in Yrs,Weight in Kgs,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,
677509,Drs.,Lois,H,Walker,F,lois.walker@hotmail.com,Donald Walker,Helen Walker,Lewis,3/29/1981,2:31:49 AM,36.36,60,11/24/2003,Q4,H2,2003,11,November,Nov,24,Monday,Mon,13.68,168251,
940761,Ms.,Brenda,S,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,Judy Robinson,Perry,7/31/1970,12:13:27 PM,47.02,60,7/27/2008,Q3,H2,2008,7,July,Jul,27,Sunday,Sun,9.01,51063,
428945,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,Taylor,6/16/1963,10:45:36 AM,54.15,68,8/3/2016,Q3,H2,2016,8,August,Aug,3,Wednesday,Wed,0.98,50155,
408351,Drs.,Diane,I,Evans,F,diane.evans@yahoo.com,Jason Evans,Michelle Evans,Allen,12/4/1977,2:18:45 AM,39.67,51,4/16/1999,Q2,H1,1999,4,April,Apr,16,Friday,Fri,18.3,180294,
193819,Mr.,Benjamin,R,Russell,M,benjamin.russell@charter.net,Gregory Russell,Elizabeth Russell,Nelson,4/17/1977,5:41:11 PM,40.31,58,7/25/2013,Q3,H2,2013,7,July,Jul,25,Thursday,Thu,4.01,117642,
499687,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,Henderson,9/27/1982,1:12:41 PM,34.86,58,7/22/2005,Q3,H2,2005,7,July,Jul,22,Friday,Fri,12.02,72305,
539712,Ms.,Nancy,T,Baker,F,nancy.baker@bp.com,Scott Baker,Judy Baker,Thomas,6/13/1995,8:56:32 PM,22.14,50,9/14/2016,Q3,H2,2016,9,September,Sep,14,Wednesday,Wed,0.87,98189,
380086,Mrs.,Carol,V,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,Katherine Murphy,Peterson,6/30/1958,10:39:33 AM,59.12,40,1/28/1983,Q1,H1,1983,1,January,Jan,28,Friday,Fri,34.52,60918,
477616,Hon.,Frances,B,Young,F,frances.young@gmail.com,Fred Young,Lillian Young,Diaz,6/9/1959,4:38:47 PM,58.18,42,4/27/1994,Q2,H1,1994,4,April,Apr,27,Wednesday,Wed,23.27,121587,
162402,Hon.,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,Christina Peterson,Ross,11/13/1987,3:59:26 AM,29.73,60,2/17/2014,Q1,H1,2014,2,February,Feb,17,Monday,Mon,3.44,43010,
231469,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,Moore,2/5/1975,2:15:50 AM,42.5,80,4/14/2009,Q2,H1,2009,4,April,Apr,14,Tuesday,Tue,8.29,118457,
153989,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,Walker,5/19/1995,4:33:57 PM,22.21,61,1/5/2017,Q1,H1,2017,1,January,Jan,5,Thursday,Thu,0.56,82965,
386158,Mrs.,Melissa,Q,King,F,melissa.king@comcast.net,Philip King,Maria King,White,2/24/1972,6:04:57 PM,45.45,55,11/24/2015,Q4,H2,2015,11,November,Nov,24,Tuesday,Tue,1.68,166892,
301576,Hon.,Wayne,G,Watson,M,wayne.watson@gmail.com,Ronald Watson,Margaret Watson,Hayes,6/26/1996,12:23:21 AM,21.1,87,7/19/2017,Q3,H2,2017,7,July,Jul,19,Wednesday,Wed,0.02,92758,
441771,Mrs.,Cheryl,O,Scott,F,cheryl.scott@gmail.com,Richard Scott,Lois Scott,Watson,2/23/1958,6:59:29 PM,59.47,47,11/26/1990,Q4,H2,1990,11,November,Nov,26,Monday,Mon,26.69,92220,
528509,Hon.,Paula,G,Diaz,F,paula.diaz@gmail.com,Alan Diaz,Kathryn Diaz,Powell,8/22/1966,8:11:15 PM,50.97,42,8/22/1994,Q3,H2,1994,8,August,Aug,22,Monday,Mon,22.95,152654,
912990,Mr.,Joshua,T,Stewart,M,joshua.stewart@yahoo.ca,Todd Stewart,Martha Stewart,Jones,5/18/1970,3:47:46 AM,47.23,68,9/2/2002,Q3,H2,2002,9,September,Sep,2,Monday,Mon,14.91,184896,
214352,Ms.,Theresa,G,Lee,F,theresa.lee@gmail.com,John Lee,Rebecca Lee,Turner,12/5/1992,9:20:52 AM,24.66,59,1/19/2015,Q1,H1,2015,1,January,Jan,19,Monday,Mon,2.52,197537,
890290,Hon.,Julia,S,Scott,F,julia.scott@apple.com,Lawrence Scott,Amy Scott,King,7/15/1959,9:24:39 PM,58.08,56,2/23/2005,Q1,H1,2005,2,February,Feb,23,Wednesday,Wed,12.43,141518,
622406,Mr.,Thomas,Q,Lewis,M,thomas.lewis@gmail.com,Ryan Lewis,Lois Lewis,Price,10/4/1967,8:28:14 PM,49.85,73,6/7/1998,Q2,H1,1998,6,June,Jun,7,Sunday,Sun,19.15,73862,
979607,Ms.,Carol,J,Edwards,F,carol.edwards@msn.com,Shawn Edwards,Susan Edwards,Gray,12/14/1994,9:28:36 AM,22.64,56,4/25/2016,Q2,H1,2016,4,April,Apr,25,Monday,Mon,1.26,93967,
969580,Prof.,Matthew,L,Turner,M,matthew.turner@gmail.com,Jose Turner,Kathy Turner,Cox,10/26/1993,1:37:48 AM,23.77,56,2/7/2016,Q1,H1,2016,2,February,Feb,7,Sunday,Sun,1.47,52237,
426038,Hon.,Joan,C,Stewart,F,joan.stewart@yahoo.com,Charles Stewart,Julia Stewart,Collins,11/20/1972,11:14:04 AM,44.72,56,12/30/2009,Q4,H2,2009,12,December,Dec,30,Wednesday,Wed,7.58,111673,
388642,Mrs.,Ruby,R,Rogers,F,ruby.rogers@gmail.com,Ronald Rogers,Teresa Rogers,Alexander,5/1/1980,1:08:30 PM,37.27,59,8/30/2013,Q3,H2,2013,8,August,Aug,30,Friday,Fri,3.91,160623,
560455,Ms.,Carolyn,V,Hayes,F,carolyn.hayes@hotmail.co.uk,Jimmy Hayes,Sara Hayes,Foster,3/10/1958,12:52:37 PM,59.42,53,7/3/2001,Q3,H2,2001,7,July,Jul,3,Tuesday,Tue,16.08,42005,
477253,Mrs.,Anne,L,Russell,F,anne.russell@ibm.com,Jimmy Russell,Stephanie Russell,Richardson,7/29/1989,2:57:12 AM,28.02,60,11/24/2013,Q4,H2,2013,11,November,Nov,24,Sunday,Sun,3.68,103160,
263480,Hon.,Daniel,K,Cooper,M,daniel.cooper@yahoo.com,Louis Cooper,Julie Cooper,Murphy,1/1/1990,7:24:56 PM,27.59,60,3/6/2014,Q1,H1,2014,3,March,Mar,6,Thursday,Thu,3.4,153790,
683826,Mr.,Roger,L,Roberts,M,roger.roberts@gmail.com,Antonio Roberts,Katherine Roberts,Brooks,7/7/1969,3:46:56 PM,48.09,77,1/29/2009,Q1,H1,2009,1,January,Jan,29,Thursday,Thu,8.5,129625,
474599,Drs.,Maria,W,Walker,F,maria.walker@microsoft.com,Ralph Walker,Teresa Walker,Brooks,3/19/1975,11:07:50 PM,42.39,41,10/1/1998,Q4,H2,1998,10,October,Oct,1,Thursday,Thu,18.84,48944,
335732,Ms.,Brenda,M,Butler,F,brenda.butler@gmail.com,Phillip Butler,Joyce Butler,Thomas,12/6/1963,3:15:30 AM,53.68,41,8/20/1987,Q3,H2,1987,8,August,Aug,20,Thursday,Thu,29.96,60508,
329752,Hon.,Lillian,X,Brown,F,lillian.brown@aol.com,Gary Brown,Virginia Brown,Wood,5/12/1981,12:00:55 AM,36.24,49,4/13/2015,Q2,H1,2015,4,April,Apr,13,Monday,Mon,2.29,67251,
